run,det,des,keypoints,det_time_ms,des_time_ms,size_mu,size_std,matches
4,FAST,ORB,1793,0.00141488,0.000702856,7,0,126
5,FAST,ORB,1796,0.0014217,0.000932414,7,0,108
6,FAST,ORB,1788,0.00143273,0.000747197,7,0,123
7,FAST,ORB,1695,0.00138573,0.000746555,7,0,131
8,FAST,ORB,1749,0.00152637,0.000696325,7,0,125
9,FAST,ORB,1770,0.00172762,0.000705685,7,0,119
0,FAST,FREAK,1824,0.0014919,0.000808984,7,0,0
1,FAST,FREAK,1832,0.00164206,0.000845402,7,0,119
2,FAST,FREAK,1810,0.00159083,0.000847525,7,0,130
3,FAST,FREAK,1817,0.00143814,0.00083982,7,0,118
4,FAST,FREAK,1793,0.00150744,0.000781072,7,0,126
5,FAST,FREAK,1796,0.001498,0.000830752,7,0,108
6,FAST,FREAK,1788,0.00141384,0.000861709,7,0,123
7,FAST,FREAK,1695,0.00138365,0.000813913,7,0,131
8,FAST,FREAK,1749,0.00145809,0.000806989,7,0,125
9,FAST,FREAK,1770,0.00143603,0.000693187,7,0,119
0,FAST,AKAZE,1824,0.00180847,0.00079281,7,0,0
1,FAST,AKAZE,1832,0.00195081,0.000703783,7,0,119
2,FAST,AKAZE,1810,0.00192705,0.000738923,7,0,130
3,FAST,AKAZE,1817,0.00148119,0.000832063,7,0,118
4,FAST,AKAZE,1793,0.00186144,0.000869389,7,0,126
5,FAST,AKAZE,1796,0.00147293,0.000804356,7,0,108
6,FAST,AKAZE,1788,0.00141423,0.000818219,7,0,123
7,FAST,AKAZE,1695,0.00140919,0.000826054,7,0,131
8,FAST,AKAZE,1749,0.00141828,0.000827889,7,0,125
9,FAST,AKAZE,1770,0.00171437,0.000685084,7,0,119
0,FAST,SIFT,1824,0.00146092,0.000818133,7,0,0
1,FAST,SIFT,1832,0.00144791,0.000869446,7,0,119
2,FAST,SIFT,1810,0.00141966,0.000808219,7,0,130
3,FAST,SIFT,1817,0.00149373,0.000843783,7,0,118
4,FAST,SIFT,1793,0.00143114,0.000798035,7,0,126
5,FAST,SIFT,1796,0.00142807,0.00072907,7,0,108
6,FAST,SIFT,1788,0.00155751,0.000716205,7,0,123
7,FAST,SIFT,1695,0.00160641,0.000754612,7,0,131
8,FAST,SIFT,1749,0.00151582,0.00078268,7,0,125
9,FAST,SIFT,1770,0.00183276,0.000841651,7,0,119
0,BRISK,BRISK,2757,0.0456503,0.00325998,19.0813,148.973,0
1,BRISK,BRISK,2777,0.0415715,0.00352621,19.4177,157.857,171
2,BRISK,BRISK,2741,0.0401508,0.0034464,19.1647,148.535,176
3,BRISK,BRISK,2735,0.0397248,0.00318205,18.8733,145.275,157
4,BRISK,BRISK,2757,0.0399069,0.00327993,19.1736,151.133,176
5,BRISK,BRISK,2695,0.0405169,0.0032081,19.1478,156.156,174
6,BRISK,BRISK,2715,0.0400496,0.00326778,19.0684,151.423,188
7,BRISK,BRISK,2628,0.0410853,0.00307231,19.3445,156.293,173
8,BRISK,BRISK,2639,0.0405332,0.00301883,19.3067,155.883,171
9,BRISK,BRISK,2672,0.0411281,0.002864,19.3097,146.893,184
0,BRISK,BRIEF,2757,0.0538976,0.00591343,19.0813,148.973,0
1,BRISK,BRIEF,2777,0.0447619,0.00557022,19.4177,157.857,162
2,BRISK,BRIEF,2741,0.0473069,0.00522227,19.1647,148.535,175
3,BRISK,BRIEF,2735,0.0396541,0.00466525,18.8733,145.275,158
4,BRISK,BRIEF,2757,0.0399712,0.00467037,19.1736,151.133,167
5,BRISK,BRIEF,2695,0.0398638,0.00469641,19.1478,156.156,160
6,BRISK,BRIEF,2715,0.0394678,0.00488438,19.0684,151.423,182
7,BRISK,BRIEF,2628,0.0389868,0.00467759,19.3445,156.293,167
8,BRISK,BRIEF,2639,0.0392357,0.00463927,19.3067,155.883,171
9,BRISK,BRIEF,2672,0.0398729,0.00487286,19.3097,146.893,172
0,BRISK,ORB,2757,0.0423393,0.00106682,19.0813,148.973,0
1,BRISK,ORB,2777,0.0412775,0.00124299,19.4177,157.857,178
2,BRISK,ORB,2741,0.0418816,0.00123402,19.1647,148.535,205
3,BRISK,ORB,2735,0.0398915,0.00129359,18.8733,145.275,185
4,BRISK,ORB,2757,0.0409005,0.00128374,19.1736,151.133,179
5,BRISK,ORB,2695,0.0395774,0.0012442,19.1478,156.156,183
6,BRISK,ORB,2715,0.0402515,0.00124584,19.0684,151.423,195
7,BRISK,ORB,2628,0.0388207,0.0011514,19.3445,156.293,207
8,BRISK,ORB,2639,0.0392397,0.00123281,19.3067,155.883,189
9,BRISK,ORB,2672,0.0394277,0.00117289,19.3097,146.893,183
0,BRISK,FREAK,2757,0.0416944,0.00121791,19.0813,148.973,0
1,BRISK,FREAK,2777,0.0400536,0.00124269,19.4177,157.857,178
2,BRISK,FREAK,2741,0.0402019,0.00115213,19.1647,148.535,205
3,BRISK,FREAK,2735,0.0394904,0.00116008,18.8733,145.275,185
4,BRISK,FREAK,2757,0.0401995,0.00121122,19.1736,151.133,179
5,BRISK,FREAK,2695,0.0399249,0.00119601,19.1478,156.156,183
6,BRISK,FREAK,2715,0.0397866,0.00115857,19.0684,151.423,195
7,BRISK,FREAK,2628,0.0392266,0.00119324,19.3445,156.293,207
8,BRISK,FREAK,2639,0.0395553,0.00123413,19.3067,155.883,189
9,BRISK,FREAK,2672,0.039854,0.00118527,19.3097,146.893,183
